Species_updated_name_fishbase,Species_checklist_name,Species_used_name,Author,Class,Order,Family,Red_Sea,Mediterranean,Red_sea_endemic,Med_israeli_coast,Gulf_of_aqaba ,Lessepsian,First_israel_med_record,Pop_status_in_isreal,Lessepsian_med_distribution,Anti_Lessepsian,Distinct_Med_Red_distribution,Med_Red_distribution_explanation,Distinct_sp_Med_first_record_year,Comments,Home_range,Activity,Schooling,Water_level,Diet,Venomous,Poisonous
Brotula multibarbata,Brotula multibarbata,NA,Temminck & Schlegel 1846,Actinopteri,Ophidiiformes,Ophidiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,FC,0,0
Bryaninops discus,Bryaninops discus,NA,"Suzuki, Bogorodsky & Randall 2012",Actinopteri,Gobiiformes,Gobiidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bryaninops loki,Bryaninops loki,NA,Larson 1985,Actinopteri,Gobiiformes,Gobiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,PK,0,0
Bryaninops natans,Bryaninops natans,Bryaninops natans,Larson 1985,Actinopteri,Gobiiformes,Gobiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,SmallG,Bottom,PK,0,0
Bryaninops ridens,Bryaninops ridens,NA,Smith 1959,Actinopteri,Gobiiformes,Gobiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,PK,0,0
Bryaninops spongicolus,Bryaninops spongicolus,NA,"Suzuki, Bogorodsky & Randall 2012",Actinopteri,Gobiiformes,Gobiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bryaninops tigris,Bryaninops tigris,NA,Larson 1985,Actinopteri,Gobiiformes,Gobiidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,SmallG,Bottom,PK,0,0
Bryaninops yongei,Bryaninops yongei,NA,Davis & Cohen 1968,Actinopteri,Gobiiformes,Gobiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Pair,Bottom,PK,0,0
Bryx analicarens,Bryx analicarens,NA,Duncker 1915,Actinopteri,Syngnathiformes,Syngnathidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Buenia affinis,Buenia affinis,NA,"Iljin, 1930",Actinopteri,Gobiiformes,Gobiidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Buenia lombartei,Buenia lombartei,NA,"Kova?i?, Ordines & Schliewen, 2018",Actinopteri,Gobiiformes,Gobiidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Buenia massutii,Buenia massutii,NA,"Kova?i?, Ordines & Schliewen, 2017",Actinopteri,Gobiiformes,Gobiidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Buglossidium luteum,Buglossidium luteum,NA,"(Risso, 1810)",Actinopteri,Carangiformes,Soleidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cabillus nigrostigmus,Cabillus nigrostigmus,NA,Kova?i? & Bogorodsky 2013,Actinopteri,Gobiiformes,Gobiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Caesio caerulaurea,Caesio caerulaurea,Caesio caerulaurea,Lacepčde 1801,Actinopteri,Eupercaria/misc,Caesionidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,LargeG,High,PK,0,0
Caesio lunaris,Caesio lunaris,Caesio lunaris,Cuvier 1830,Actinopteri,Eupercaria/misc,Caesionidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,LargeG,High,PK,0,0
Caesio striata,Caesio striata,NA,Rüppell 1830,Actinopteri,Eupercaria/misc,Caesionidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,LargeG,High,PK,0,0
Caesio suevica,Caesio suevica,Caesio suevica,Klunzinger 1884,Actinopteri,Eupercaria/misc,Caesionidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,LargeG,High,PK,0,0
Caesio varilineata,Caesio varilineata,Caesio varilineata,"Carpenter, 1987",Actinopteri,Perciformes,Caesionidae,1,1,0,0,1,0,NA,NA,NA,0,1,introducued/invaded,2018,NA,VMob,Day,LargeG,High,PK,0,0
Caesio xanthonota,Caesio xanthonota,NA,Bleeker 1853,Actinopteri,Eupercaria/misc,Caesionidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,LargeG,High,PK,0,0
Callanthias ruber,Callanthias ruber,NA,"(Rafinesque, 1810)",Actinopteri,Perciformes,Callanthiidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,MedG,Low,IM,0,0
Callechelys catostoma,Callechelys catostoma,NA,Schneider & Forster 1801,Actinopteri,Anguilliformes,Ophichthidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,FC,0,0
Callechelys marmorata,Callechelys marmorata,Callechelys marmorata,Bleeker 1853,Actinopteri,Anguilliformes,Ophichthidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,IM,0,0
Callionymus bentuviai,Callionymus bentuviai,NA,Fricke 1981,Actinopteri,Callionymiformes,Callionymidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Callionymus delicatulus,Callionymus delicatulus,NA,Smith 1963,Actinopteri,Callionymiformes,Callionymidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Callionymus erythraeus,Callionymus erythraeus,NA,Ninni 1934,Actinopteri,Callionymiformes,Callionymidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
